"state","positiveityRate"
"ID","0.26914082826215946"
"SD","0.2691143681051009"
"KS","0.23410316685143495"
"PR","0.22854209742861248"
"IA","0.21242212381056869"
"AL","0.2119759014254651"
"MS","0.171348708453054"
"GA","0.139302586619772"
"TX","0.13548944147562278"
"UT","0.13213700187409438"
